author,date_issued,url_identifier,title,peerreviewed,campus,department,language,type,subject,month
"Johnson, Rebecca",2021-12-30,https://hdl.handle.net/2027.42/171267,Global Service-Learning: A Systematic Review of Principles and Practices,Yes,Ann Arbor,"Environment and Sustainability, School for (SEAS/SNRE)",en_US,Article,Science,12
"Stockton, Ronald R.",2021-12-27,https://hdl.handle.net/2027.42/171089,"Archbishop Desmond Tutu, a Moral Giant.  Text of a podcast.",No,Dearborn,"Social Sciences: Political Science, Department of (UM-Dearborn)",en_US,Presentation,Social Sciences,12
"Stockton, Ronald R.",2021-12-27,https://hdl.handle.net/2027.42/171090,"Will Roe Survive?  The MIssissippi Challenge, 2021",No,Dearborn,"Social Sciences: Political Science, Department of (UM-Dearborn)",en_US,Presentation,Political Science,12
"Wilkinson, Bruce H.",2021-12-23,https://hdl.handle.net/2027.42/171083,Dimensions of Sedimentary Lithotopes and Taxonomies of Fishes,Yes,Ann Arbor,"Zoology, University of Michigan Museum of (UMMZ)",en_US,Article,Science,12
"Robinson-Lane, Sheria",2021-12-22,https://hdl.handle.net/2027.42/171081,"“Ooh, You Got to Holler Sometime” Pain Meaning and Experiences of Black Older Adults",No,Ann Arbor,"Nursing, School of",en_US,Book chapter,Health Sciences,12
"De Geronimo, Francesca",2021-12-21,https://hdl.handle.net/2027.42/171080,Peer Group Therapy for Adolescent Substance Misuse Treatment: A Scoping Review Protocol,No,Ann Arbor,"Nursing, School of",en_US,Other,Health Sciences,12
"Alejo Giraldo, Dimitri Esteban",2021-12-21,https://hdl.handle.net/2027.42/171087,Transcending Organizational Models: Chasing examples and Identifying attributes,No,Ann Arbor,"Business, Stephen M. Ross School of",en_US,Article,Business and Economics,12
"Arlinghaus, Sandra",2021-12-20,https://hdl.handle.net/2027.42/171078,"Solstice:  An Electronic Journal of Geography and Mathematics:  Vol. 32, No. 2",Yes,Ann Arbor,"Mathematical Geography, Institute of (IMaGe)",en_US,Project,Social Sciences,12
"Abid, Chaima",2021-12-19,https://hdl.handle.net/2027.42/171082,"Explainable, Security-Aware and Dependency-Aware Framework for Intelligent Software Refactoring",No,Unidentified,Dissertations and Theses (Ph.D. and Master's),en_US,Thesis,Other,12
"Roytburd, Benjamin",2021-12-19,https://hdl.handle.net/2027.42/170914,An Embedded Deep Learning Computer Vision Method for Driver Distraction Detection,No,Unidentified,Dissertations and Theses (Ph.D. and Master's),en_US,Thesis,Other,12
"Hamzeh, Yazan F.",2021-12-19,https://hdl.handle.net/2027.42/170924,Influence of Rain on Vision-Based Algorithms in the Automotive Domain,No,Unidentified,Dissertations and Theses (Ph.D. and Master's),en_US,Thesis,Other,12
